Farmer_Message,Advisor_Reply,Crop,Problem_Type,Language,Location,Season,Urgency_Level,Sentiment,Advisor_Type,Product_Recommended,Cost_Estimate,Follow_Up_Required,Message_Length,Intent_Tag,Timestamp
ııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Apple,Market,Bhojpuri,Himachal Pradesh,Summer,Low,Worried,Private,Pesticide,4258,No,12,ask_advice,09/08/2024 11:02
ııııııııı ıııııı ıııııı ıııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ııııııııııııııı,Sugarcane,Market,Manipuri,Kerala,Zaid,Low,Worried,Private,Neem Oil,1700,No,6,ask_advice,19/04/2024 15:50
ııııııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Rice,Pest,Malayalam,West Bengal,Rabi,High,Frustrated,NGO,Irrigation Pump,987,No,18,ask_advice,22/10/2024 19:38
ııııııııı ıııııı ııı ııııııııı ııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Wheat,Disease,Assamese,Arunachal Pradesh,Rabi,High,Neutral,Human,Pesticide,2257,No,5,ask_advice,31/01/2024 03:22
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Onion,Weather,Haryanvi,Punjab,Winter,Low,Hopeful,Govt_Expert,Irrigation Pump,2171,Yes,11,ask_advice,23/07/2024 09:38
ıııııı ıııııııı ıııııı ıııııııııııı ıııııııı,ıııııı ıııı ıııııııı ıııııı ıııı ıııııııııııııııı ıııııı ıııııııı,Banana,Disease,Kashmiri,Gujarat,Zaid,Low,Neutral,Private,Irrigation Pump,1663,Yes,5,ask_advice,08/11/2024 14:40
ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Sugarcane,Weather,Punjabi,Kerala,Summer,High,Neutral,NGO,Irrigation Pump,525,No,11,ask_advice,07/10/2024 16:53
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ıııııııııııı ııııııııı ııııııııııııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Cotton,Disease,Santhali,Uttar Pradesh,Monsoon,Medium,Hopeful,Govt_Expert,Fertilizer,4217,Yes,7,ask_advice,18/11/2024 10:55
ıııııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııı ıııııııııııı ıııııııııııı.,Wheat,Weather,Kannada,Nagaland,Summer,Low,Angry,NGO,None,0,No,23,ask_advice,02/01/2025 20:38
ııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııı,Pulses,Disease,Santhali,Andhra Pradesh,Monsoon,Low,Angry,Human,Neem Oil,2342,Yes,6,ask_advice,06/06/2024 14:42
ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııııııııı ıııııııııııııııııı,Rice,Water,Punjabi,Tripura,Summer,Medium,Worried,Private,Pesticide,3962,Yes,9,ask_advice,06/06/2024 21:25
ıııııııııııııııııı ıııııııııııı ııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ııııııııı ııııııııı,ııııııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Banana,Weather,Rajasthani,Jharkhand,Zaid,Low,Worried,Govt_Expert,Drip Kit,4898,No,9,ask_advice,12/02/2025 14:49
ıııııııııııı ıııııı ııı ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııııııııııııııı,ııııııııı ıııııııııııııııııı ııııııııııııııı,Sugarcane,Weather,Bengali,Uttarakhand,Summer,High,Angry,Govt_Expert,Fertilizer,2870,Yes,8,ask_advice,19/05/2024 11:07
ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııııııııııııııı,Apple,Market,Punjabi,Andhra Pradesh,Winter,High,Angry,Private,Irrigation Pump,2163,Yes,10,ask_advice,24/01/2024 07:53
ıııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııııııııı,ıııııııııııı ıııııı ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı,Wheat,Pest,Rajasthani,Nagaland,Summer,Medium,Hopeful,Govt_Expert,None,0,Yes,10,ask_advice,23/08/2024 13:54
ıııı ıııı ıııııı ıııııııı ıııı ıııııı ıııı ıııııııı ıııı ıııııı ıııııı,ıııııııı ıııııııııııııı ıııııııı,Mango,Pest,Kashmiri,Meghalaya,Summer,High,Hopeful,AI,Fertilizer,2109,No,11,ask_advice,29/03/2025 17:43
ıııııı ıııııı ıııııı ıııııııı ıııııııı,ıııııııı ıııı ıııııııııııı ıııııııı,Sugarcane,Pest,Kashmiri,Manipur,Rabi,Low,Angry,Human,Fertilizer,1348,No,5,ask_advice,10/08/2024 09:36
ııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ııııııııı ıııııı.,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııı ııııııııııııııı.,Tomato,Disease,Gujarati,Maharashtra,Zaid,Medium,Neutral,AI,Irrigation Pump,1745,No,6,ask_advice,03/04/2024 12:54
ıııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı.,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ııııııııı.,Rice,Water,Gujarati,Mizoram,Kharif,Low,Frustrated,AI,Irrigation Pump,4815,Yes,11,ask_advice,01/03/2024 11:02
ıııııııııııı ıııııı ıııııı ıııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııı,Tea,Pest,Santhali,Uttarakhand,Monsoon,High,Hopeful,Human,Fertilizer,4407,No,7,ask_advice,15/06/2024 06:18
ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııı ıııııı ııııııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı ıııııııııııııııııı,Pulses,Water,Rajasthani,Uttarakhand,Kharif,High,Hopeful,NGO,Irrigation Pump,262,Yes,9,ask_advice,08/01/2025 05:21
ıııııııııııı ıııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı ıııııııııııııııııı,Banana,Market,Hindi,Sikkim,Rabi,Low,Worried,Human,Neem Oil,815,No,10,ask_advice,17/01/2024 16:24
ıııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı ıııııııııııı.,ıııııııııııı ıııııııııııı ııııııııııııııı.,Banana,Pest,Marathi,Himachal Pradesh,Rabi,Medium,Neutral,NGO,None,0,No,5,ask_advice,16/04/2024 20:29
ıııııııııııı ıııııııııııı ııııııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııı.,Coffee,Nutrient,Kannada,Manipur,Zaid,High,Hopeful,AI,Fungicide,1345,Yes,24,ask_advice,27/04/2025 04:51
ııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Pulses,Pest,Hindi,Himachal Pradesh,Rabi,Low,Angry,NGO,Fertilizer,319,No,9,ask_advice,19/08/2024 15:09
ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ııııııııı.,ııııııııııııııı ııııııııı ııııııııııııııı.,Tea,Weather,Marathi,Sikkim,Zaid,High,Angry,NGO,Irrigation Pump,2726,No,9,ask_advice,07/04/2024 01:09
ııııııııııııııı ıııııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııııııııı,Wheat,Water,Santhali,Haryana,Rabi,Low,Angry,AI,Neem Oil,3658,Yes,7,ask_advice,14/11/2024 02:17
ıııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı ııııııııııııııııııııııııııı ıııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Banana,Water,Tamil,Maharashtra,Kharif,High,Angry,Govt_Expert,Neem Oil,3737,No,27,ask_advice,06/04/2024 16:28
ııııııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııı ıııııııııııııııııııııııııııııııııııı.,Apple,Weather,Malayalam,Haryana,Zaid,High,Frustrated,Govt_Expert,None,0,Yes,23,ask_advice,21/02/2025 22:04
ıııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Rice,Pest,Hindi,Telangana,Zaid,Medium,Angry,Human,Irrigation Pump,1181,Yes,8,ask_advice,17/10/2024 04:54
ıııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Sugarcane,Market,Haryanvi,Assam,Zaid,Low,Angry,Govt_Expert,Pesticide,2483,No,11,ask_advice,20/12/2024 01:15
ıııııı ıııııııııııııııııııııııııııııı ıııııı ıııııııııııııııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı.,ıııııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı.,Millets,Nutrient,Telugu,Odisha,Kharif,Low,Neutral,AI,Drip Kit,1277,Yes,21,ask_advice,31/03/2024 18:26
ıııııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııı ııııııııııııııı ıııııııııııı,Potato,Weather,Haryanvi,Madhya Pradesh,Monsoon,Medium,Angry,NGO,None,0,Yes,11,ask_advice,02/04/2025 14:04
ııııııııı ıııııı ııııııııı ııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ıııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Apple,Disease,Rajasthani,Himachal Pradesh,Winter,Low,Hopeful,Govt_Expert,Irrigation Pump,2400,Yes,10,ask_advice,03/09/2024 15:42
ıııııııııııı ııııııııııııııııııııı ıııııı ııııııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,ıııııııııııı ııııııııııııııı ıııııııııııııııııııııııı,Potato,Market,Tulu,Punjab,Monsoon,Medium,Frustrated,Govt_Expert,Neem Oil,1186,No,6,ask_advice,29/12/2024 00:01
ııııııııı ııııııııı ııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ııııııııı ııııııııııııııııııııı ıııııııııııı,Rice,Nutrient,Assamese,Andhra Pradesh,Zaid,Low,Frustrated,Private,Fertilizer,3872,No,6,ask_advice,19/07/2024 10:40
ııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ıııııı.,ııııııııı ıııııııııııı ıııııı ııııııııııııııı ııııııııı.,Pulses,Water,Gujarati,Uttarakhand,Summer,Medium,Worried,AI,None,0,Yes,9,ask_advice,10/02/2025 09:58
ıııııııııııı ııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Wheat,Water,Punjabi,Mizoram,Kharif,Low,Neutral,NGO,Irrigation Pump,3348,No,9,ask_advice,23/07/2024 11:42
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Wheat,Water,Hindi,Mizoram,Winter,Low,Worried,Govt_Expert,Fertilizer,4411,No,10,ask_advice,09/04/2024 04:48
ıııııııııııı ııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ııııııııı ııııııııı,ıııııııııııı ıııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Rice,Equipment,Bhojpuri,Odisha,Zaid,Low,Frustrated,Human,None,0,Yes,9,ask_advice,12/07/2024 08:51
ıııııııııııı ıııı ıııııı ıııııııı ıııı ıııııııııııııı ıııı ıııııı ıııı ıııııııı ıııı ıııııı ıııııı,ıııııı ıııı ıııııııı ıııııı ıııı ıııııı ıııııııııııııııı ıııı ıııııııı,Spices,Weather,Kashmiri,Goa,Zaid,Low,Worried,Govt_Expert,Drip Kit,3779,Yes,13,ask_advice,24/10/2024 22:16
ıııııııııııı ııııııııııııııııııııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııııııııı ııııııııııııııı.,ıııııııııııı ııııııııııııııııııııııııııııııııı.,Onion,Market,Tamil,Tamil Nadu,Kharif,Low,Angry,NGO,Fertilizer,4385,Yes,20,ask_advice,23/12/2024 08:09
ıııııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ıııııııııııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Onion,Equipment,Odia,Kerala,Summer,High,Frustrated,AI,Fungicide,2016,No,7,ask_advice,21/03/2024 21:20
ıııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Onion,Pest,Haryanvi,Madhya Pradesh,Winter,Low,Hopeful,AI,Fungicide,3210,Yes,9,ask_advice,30/07/2024 12:59
ıııııııııııı ııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı ııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Potato,Weather,Bhojpuri,West Bengal,Kharif,Low,Hopeful,Govt_Expert,Pesticide,4316,No,10,ask_advice,22/04/2024 05:55
ııııııııı ııııııııı ıııııı ııııııııı ııııııııııııııı,ııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııı,Pulses,Pest,Manipuri,Rajasthan,Rabi,High,Angry,Private,Pesticide,380,No,5,ask_advice,17/02/2024 06:34
ıııııııııııı ııııııııı ııı ıııııııııııı ııııııııııııııııııııı,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııı,Potato,Pest,Bengali,Rajasthan,Summer,Medium,Frustrated,Human,Pesticide,3738,Yes,5,ask_advice,08/01/2025 08:28
ıııııııııııı ııııııııııııııı ııı ııııııııııııııııııııııııııı ıııııııııııııııııı ııııııııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııı ııııııııı ııııııııııııııııııııı ııııııııııııııı,Tomato,Equipment,Bengali,West Bengal,Summer,High,Worried,Private,Fertilizer,4990,No,6,ask_advice,24/04/2025 07:32
ııııııııııııııı ııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ııııııııııııııııııııı,Brinjal,Nutrient,Odia,Tripura,Zaid,Medium,Angry,Human,Neem Oil,3862,No,7,ask_advice,27/04/2025 15:21
ıııııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ıııııı ııııııııııııııı ııııııııııııııı,Tomato,Water,Hindi,Bihar,Zaid,High,Hopeful,AI,Fertilizer,1263,No,10,ask_advice,09/04/2025 09:05
ıııııı ııııııııııııııııııııı ıııııı ııııııııı ıııııııııııııııııı ıııııııııııııııııı,ıııııııııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııı,Ragi,Weather,Odia,Assam,Winter,High,Neutral,AI,Fungicide,1519,No,6,ask_advice,26/07/2024 10:47
ııııııııııııııı ıııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııı.,ııııııııı ııııııııııııııııııııııııııııııııı.,Coffee,Pest,Malayalam,Karnataka,Zaid,Low,Hopeful,Govt_Expert,Fertilizer,2920,Yes,18,ask_advice,08/05/2024 23:25
ıııııııııııı ııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııııııııı ıııııııııııı ıııııııııııı ıııııııııııııııııı.,ıııııııııııııııııııııııııııııııııııı ıııııııııııı ıııııııııııııııııııııııı,Cotton,Weather,Tulu,Odisha,Winter,Medium,Worried,Private,Fungicide,4686,No,8,ask_advice,28/03/2024 03:45
ıııııı ıııııı ıııııı ıııııııı ıııııııı ıııı ıııııı ıııııııı,ıııııı ıııııııııııııııı ıııı ıııı ıııııııııııı ıııııııı,Apple,Nutrient,Kashmiri,Punjab,Monsoon,High,Neutral,Govt_Expert,Drip Kit,4742,Yes,8,ask_advice,03/02/2025 16:35
ııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ııııııııı ıııııı ıııııııııııı ıııııı ııııııııı ııııııııı,ııııııııı ıııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Pulses,Market,Haryanvi,Uttarakhand,Winter,Medium,Hopeful,Human,Neem Oil,2120,No,13,ask_advice,09/02/2025 19:30
ııııııııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ııııııııııııııı ııııııııı ıııııı ıııııııııııııııııı ııııııııı,Spices,Market,Konkani,Telangana,Monsoon,Medium,Hopeful,Govt_Expert,Irrigation Pump,2043,Yes,7,ask_advice,01/11/2024 18:55
ııııııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı.,ıııııııııııııııııııııııı ıııııı ıııııııııııııııııı ııııııııı.,Apple,Water,Gujarati,Mizoram,Rabi,Medium,Worried,Human,Pesticide,886,No,11,ask_advice,17/01/2025 05:42
ııııııııı ıııııı ııı ııııııııı ııııııııııııııı,ıııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ıııııııııııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı,Wheat,Pest,Assamese,Karnataka,Rabi,Low,Frustrated,Private,Irrigation Pump,715,No,5,ask_advice,16/05/2024 13:55
ıııııııııııı ıııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııııııııı ıııııııııııı ıııııııııııııııııııııııı.,Millets,Equipment,Kannada,Telangana,Winter,Medium,Worried,Human,None,0,No,22,ask_advice,29/09/2024 15:09
ıııııııııııııııııı ııııııııı ııııııııııııııı ııııııııııııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı.,ıııııııııııı ııııııııııııııı ııııııııııııııııııııııııııııııııı.,Rice,Equipment,Malayalam,Telangana,Rabi,Medium,Frustrated,NGO,Irrigation Pump,365,No,21,ask_advice,29/12/2024 01:54
ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ıııııııııııı ıııııııııııııııııııııııııııııııııııııııııı.,Apple,Disease,Tamil,Karnataka,Winter,High,Angry,Govt_Expert,Fertilizer,3424,No,23,ask_advice,23/06/2024 11:21
ıııııı ıııııııııııı ıııııı ıııııııııııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı.,ıııııııııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı.,Ragi,Pest,Telugu,Telangana,Rabi,Low,Angry,Private,Fungicide,1073,Yes,17,ask_advice,30/03/2024 17:02
ıııııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı ııııııııı.,ıııııııııııııııııı ıııııııııııııııııı ııııııııı ııııııııı ıııııııııııı ııııııııııııııı ııııııııı ıııııııııııı.,Potato,Market,Marathi,Manipur,Zaid,Low,Worried,Govt_Expert,Drip Kit,3808,Yes,9,ask_advice,26/01/2025 10:05
ııııııııııııııı ıııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ıııııı ııııııııı ıııııııııııı,ııııııııııııııııııııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Wheat,Market,Maithili,Madhya Pradesh,Kharif,Medium,Frustrated,Govt_Expert,Fungicide,4090,Yes,12,ask_advice,19/02/2024 05:25
ııııııııı ıııııııııııı ıııııııııııı ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııı,ııııııııı ııııııııı ıııııııııııııııııı ıııııııııııı,Pulses,Weather,Assamese,Odisha,Monsoon,High,Hopeful,Govt_Expert,None,0,Yes,7,ask_advice,08/11/2024 07:34
ıııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııııııııı ııııııııı,ııııııııı ıııııı ııııııııııııııı ıııııııııııı,Pulses,Pest,Haryanvi,Chhattisgarh,Winter,Low,Hopeful,Human,Fertilizer,2091,Yes,9,ask_advice,12/03/2024 16:35
ıııııı ııııııııııııııı ıııııı ıııııııııııı ıııııııııııı ııııııııııııııı ıııııııııııı.,ııııııııııııııı ıııııııııııııııııı.,Cotton,Water,Telugu,Mizoram,Kharif,Medium,Hopeful,Private,Fertilizer,850,No,16,ask_advice,20/01/2024 20:09
ııııııııııııııııııııı ııııııııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ıııııııııııı ıııııııııııııııııı ıııııııııııı ııııııııııııııı ııııııııı ıııııııııııı,Cotton,Equipment,Konkani,Kerala,Summer,Low,Hopeful,NGO,Drip Kit,4934,Yes,7,ask_advice,27/01/2024 13:57
ıııııııııııı ııııııııııııııı ııııııııı ııııııııııııııı ıııııı ıııııııııııııııııı ıııııı ıııııı ıııııııııııı,ııııııııııııııııııııı ıııııı ııııııııııııııııııııı ııııııııııııııı,Brinjal,Equipment,Hindi,Uttarakhand,Monsoon,High,Frustrated,AI,Pesticide,1182,Yes,9,ask_advice,07/09/2024 23:51
ııııııııııııııı ııııııııı ııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııı.,ııııııııııııııııııııı ııııııııııııııııııııı ııııııııı ııııııııı ııııııııııııııı ııııııııı ııııııııııııııı.,Sugarcane,Disease,Gujarati,Meghalaya,Zaid,High,Worried,Human,Neem Oil,1128,No,10,ask_advice,04/11/2024 15:35
ııııııııııııııııııııı ııııııııııııııı ıııııııııııı ııııııııııııııııııııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııııııııııııııııııııııııııııııııı.,ııııııııııııııı ııııııııııııııııııııı ııııııııııııııııııııııııııııııııı.,Sugarcane,Water,Tamil,Madhya Pradesh,Winter,Medium,Frustrated,Private,Neem Oil,2216,No,29,ask_advice,06/03/2024 15:05
ıııııııııııııııııı ııııııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııı.,ıııııı ıııııı ıııııııııııııııııı ııııııııı.,Wheat,Weather,Marathi,West Bengal,Summer,High,Hopeful,AI,Fertilizer,4325,Yes,6,ask_advice,17/04/2024 18:08
ııııııııı ııııııııııııııı ıııııı ıııııııııııı ıııııı ıııııııııııııııııı ııı ııııııııı ıııııııııııı,ııııııııı ııııııııı ıııııı ııııııııııııııııııııı ıııııııııııı,Sugarcane,Weather,Maithili,Sikkim,Monsoon,Low,Hopeful,Human,Neem Oil,1933,No,9,ask_advice,24/12/2024 19:55
ıııııııııııı ııııııııııııııı ıııııı ııııııııı ıııııııııııı ıııııııııııı ııııııııı,ııııııııııııııı ıııııı ıııııııııııı ııııııııı ııııııııı ıııııııııııııııııııııııı ııııııııııııııı,Spices,Pest,Punjabi,Himachal Pradesh,Kharif,Low,Worried,NGO,Pesticide,2188,No,7,ask_advice,07/11/2024 04:57
ıııııııııııı ıııııııııııı ııııııııı ıııııııııııı ıııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ııııııııııııııı ıııııııııııııııııııııııı ıııııııııııı ıııııı ıııııııııııııııııı ıııııııııııı,Cotton,Water,Punjabi,Uttar Pradesh,Winter,Low,Angry,Govt_Expert,Drip Kit,634,No,10,ask_advice,11/12/2024 21:02
ıııııııııııı ıııııııııııı ııııııııı ııııııııı ıııııı ıııııııııııııııııı ıııııııııııııııııııııııı ııııııııı,ıııııııııııııııııı ııııııııı ıııııııııııııııııı,Banana,Disease,Punjabi,Mizoram,Zaid,Low,Angry,AI,Irrigation Pump,4775,No,8,ask_advice,04/12/2024 23:26
ııııııııııııııııııııı ııııııııı ıııııı ııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı ıııııııııııııııııı,ııııııııııııııııııııııııııı ııııııııııııııı,Banana,Equipment,Konkani,Mizoram,Winter,High,Hopeful,AI,Fungicide,2831,Yes,7,ask_advice,26/11/2024 20:12
ıııııı ııııııııııııııı ıııııı ıııııııııııııııııııııııı ııııııııııııııı ııııııııııııııı ıııııııııııııııııııııııı.,ııııııııııııııı ıııııııııııııııııı.,Tomato,Market,Telugu,Gujarat,Summer,Medium,Neutral,AI,Fertilizer,2295,Yes,21,ask_advice,26/03/2024 04:19
